0		 0000 
10		 0049 
20		 0096 
30		 0141 
40		 0184 
50		 0225 
60		 0264 
70		 0301 
80		 0336 
90		 0369 
100		 0400 
110		 0429 
120		 0456 
130		 0481 
140		 0504 
150		 0525 
160		 0544 
170		 0561 
180		 0576 
190		 0589 
200		 0600 
210		 0609 
220		 0616 
230		 0621 
240		 0624 
250		 0625 
260		 0624 
270		 0621 
280		 0616 
290		 0609 
300		 0600 
310		 0589 
320		 0576 
330		 0561 
340		 0544 
350		 0525 
360		 0504 
370		 0481 
380		 0456 
390		 0429 
400		 0400 
410		 0369 
420		 0336 
430		 0301 
440		 0264 
450		 0225 
460		 0184 
470		 0141 
480		 0096 
490		 0049 
0		 0000 
10		 0001 
20		 0004 
30		 0009 
40		 0016 
50		 0025 
60		 0036 
70		 0049 
80		 0064 
90		 0081 
100		 0100 
110		 0121 
120		 0144 
130		 0169 
140		 0196 
150		 0225 
160		 0256 
170		 0289 
180		 0324 
190		 0361 
200		 0400 
210		 0441 
220		 0484 
230		 0529 
240		 0576 
250		 0625 
260		 0676 
270		 0729 
280		 0784 
290		 0841 
300		 0900 
310		 0961 
320		 1024 
330		 1089 
340		 1156 
350		 1225 
360		 1296 
370		 1369 
380		 1444 
390		 1521 
400		 1600 
410		 1681 
420		 1764 
430		 1849 
440		 1936 
450		 2025 
460		 2116 
470		 2209 
480		 2304 
490		 2401 
